Filename,Accuracy,snr,buf
test_results_snr_0_buf_128,0.9999949932098389,0,128
test_results_snr_0_buf_256,0.9999849796295166,0,256
test_results_snr_0_buf_512,1.0,0,512
test_results_snr_10_buf_128,0.8007500171661377,10,128
test_results_snr_10_buf_256,0.8011350035667419,10,256
test_results_snr_10_buf_512,0.8018649816513062,10,512
test_results_snr_15_buf_128,0.8009200096130371,15,128
test_results_snr_15_buf_256,0.8012700080871582,15,256
test_results_snr_15_buf_512,0.8019400238990784,15,512
test_results_snr_20_buf_128,0.800944983959198,20,128
test_results_snr_20_buf_256,0.8013200163841248,20,256
test_results_snr_3_buf_128,0.6173800230026245,3,128
test_results_snr_3_buf_256,0.5847799777984619,3,256
test_results_snr_3_buf_512,0.6251749992370605,3,512
test_results_snr_5_buf_128,0.7834699749946594,5,128
test_results_snr_5_buf_256,0.7849149703979492,5,256
test_results_snr_5_buf_512,0.7843999862670898,5,512
