Filename,Accuracy,snr,buf
test_results_snr_0_buf_1024,0.7852355241775513,0,1024
test_results_snr_0_buf_128,0.7705782651901245,0,128
test_results_snr_0_buf_256,0.7741531729698181,0,256
test_results_snr_0_buf_512,0.7791581153869629,0,512
test_results_snr_10_buf_1024,0.5505406856536865,10,1024
test_results_snr_10_buf_128,0.6664581298828125,10,128
test_results_snr_10_buf_256,0.6541245579719543,10,256
test_results_snr_10_buf_512,0.644293487071991,10,512
test_results_snr_15_buf_1024,0.7117704749107361,15,1024
test_results_snr_15_buf_128,0.7033693790435791,15,128
test_results_snr_15_buf_256,0.7162391543388367,15,256
test_results_snr_15_buf_512,0.7160604000091553,15,512
test_results_snr_20_buf_1024,0.7276789546012878,20,1024
test_results_snr_20_buf_128,0.7178478837013245,20,128
test_results_snr_20_buf_256,0.7244614958763123,20,256
test_results_snr_20_buf_512,0.7312539219856262,20,512
test_results_snr_3_buf_1024,0.5510769486427307,3,1024
test_results_snr_3_buf_128,0.6192689538002014,3,128
test_results_snr_3_buf_256,0.6254357099533081,3,256
test_results_snr_3_buf_512,0.6189114451408386,3,512
test_results_snr_5_buf_1024,0.5525962710380554,5,1024
test_results_snr_5_buf_128,0.6352667808532715,5,128
test_results_snr_5_buf_256,0.6263294219970703,5,256
test_results_snr_5_buf_512,0.654035210609436,5,512
